,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
66,0.362,0.295,-17.778,0.0311,0.798,0.943,0.0768,0.242,98.081,5ftvSqrOigxKLYO5vbRLif,254499
67,0.165,0.0952,-19.477,0.0428,0.865,0.902,0.177,0.178,170.99,1R9H4milcyN5iY2BYvvG5c,358972
68,0.358,0.207,-19.74,0.0324,0.877,0.821,0.0716,0.436,92.305,4pfBsJk5TspVbi8nOAECPz,157010
69,0.148,0.246,-16.412,0.0332,0.968,0.902,0.067,0.299,184.929,05WDqLHKcWYpxSoQu9LU3x,224480
70,0.229,0.032,-26.109,0.0369,0.91,0.879,0.0439,0.385,102.46,4sZqN15CObFoxXG7LF3s6W,203240
71,0.356,0.187,-21.556,0.0414,0.614,0.556,0.265,0.495,123.527,4iZnOrc3rleeKT7Wmjd45e,148280
72,0.344,0.146,-17.203,0.0313,0.94,0.801,0.0779,0.196,87.567,6gpHSDeA3ncAaLrGHFEQr6,410867
73,0.413,0.153,-19.21,0.0499,0.939,0.714,0.317,0.392,120.562,23XacrUbtN5PfocDkWKoUq,255000
74,0.238,0.0376,-21.366,0.039,0.944,0.603,0.173,0.424,183.696,3AXI0e4YoZvwz8qkPYCbQH,157133
75,0.389,0.0328,-24.317,0.0356,0.953,0.9,0.0835,0.447,136.202,4lPIkWf4CCTjjDhfknX001,209507
76,0.208,0.0355,-36.727,0.0407,0.832,0.341,0.209,0.465,166.931,64kkl6EHOERlf1KDhrwYGV,94440
77,0.349,0.045,-31.277,0.0585,0.893,0.00306,0.156,0.111,160.497,5N7lnCWqbCNud8HeWqM55E,207133
78,0.489,0.0623,-27.121,0.0425,0.876,0.799,0.386,0.694,117.049,7B7zaNEuxGKPFPYy0OSjFs,89573
79,0.466,0.323,-23.076,0.0998,0.907,0.824,0.13,0.346,84.792,7b9AIosMPURtIrpr276Xfk,127693
80,0.361,0.245,-20.484,0.0596,0.885,0.605,0.259,0.378,88.742,3XjyqSrQEc9Kz4V5xrHu7q,216133
81,0.36,0.23,-17.645,0.0564,0.665,0.713,0.371,0.194,115.552,5LhmZ9RfaWyCLBvNU7bqtb,335267
82,0.372,0.378,-14.225,0.0547,0.872,0.898,0.103,0.17,114.312,6tEmLQQbUODhLuHjWA28JF,236173
83,0.0861,0.246,-18.623,0.0435,0.802,0.814,0.421,0.04,169.38,6jkYkd1RKBJEUaORspKuQA,155107
84,0.429,0.258,-19.451,0.05,0.915,0.569,0.0743,0.374,138.976,1QzWI8JZHZ3JLOwAV5v6VZ,437773
85,0.456,0.373,-18.416,0.0336,0.963,0.883,0.106,0.738,97.496,3mGdwNkgH1XXcLivn2sS5L,146467
86,0.484,0.24,-24.838,0.0341,0.946,0.943,0.179,0.537,123.06,1c1fxmw8gauBpebvJayXhW,287000
87,0.61,0.239,-14.851,0.129,0.937,0.187,0.226,0.383,129.096,65FZ7T4pudPGCfL2cJQgYy,124867
88,0.121,0.318,-13.421,0.0347,0.161,0.933,0.121,0.143,84.066,02Qs0jMpw19e0xC6SQA6w9,168760
89,0.182,0.339,-13.472,0.0318,0.374,0.416,0.679,0.309,102.514,4MI5JDxa7w6Oh9iPfV4KFK,110480
90,0.478,0.304,-13.027,0.0329,0.979,0.781,0.126,0.269,79.023,0rjFYPZRvqkyHA4gVSQxjt,245253
91,0.66,0.317,-17.705,0.0314,0.968,0.86,0.343,0.658,105.145,2z4c6e5qhKmR5awW9OzvZx,93293
92,0.369,0.108,-24.22,0.0483,0.964,0.792,0.202,0.317,120.523,0be4L5FgRpwyVH8WDHaCG7,210547
93,0.388,0.101,-19.262,0.0358,0.683,0.448,0.184,0.38,115.604,55OXiltpHs5dSBDyWQCnl9,138000
94,0.235,0.0523,-30.275,0.0408,0.946,0.963,0.304,0.318,179.786,6L2d1sYn9jc4GR1v44uOuW,115827
95,0.297,0.126,-17.74,0.0346,0.879,0.825,0.0734,0.207,146.424,5fqGUwfbvyQwu6AY275CF8,270467
96,0.491,0.559,-14.279,0.0673,0.96,0.932,0.145,0.747,81.597,4tqtkUt9p0kSyaKOuXXVKo,207453
97,0.352,0.131,-22.96,0.0411,0.922,0.91,0.0913,0.202,107.968,32Mm9ER8SmysMY3QMMNuEy,126227
98,0.583,0.0566,-21.005,0.034,0.943,0.0763,0.145,0.511,95.122,1vsUDlEhgMCHfyCwaOCMld,265173
99,0.457,0.151,-21.453,0.0495,0.933,0.806,0.246,0.728,150.663,1ZCEAkv9NxjhhXTrq8UOkG,256000
100,0.209,0.323,-14.649,0.0417,0.925,0.891,0.141,0.278,63.348,3Ku7sTyNOcbETESGpcoH2H,323200
101,0.352,0.253,-13.038,0.0389,0.909,0.183,0.083,0.333,97.103,1OzJSvbTKZq8u8VB2kyJ91,426733
102,0.236,0.261,-16.018,0.0375,0.972,0.911,0.171,0.299,71.535,7FDhnmKaiM4xCtwKpXC7Sw,454000
103,0.508,0.234,-14.765,0.0571,0.906,0.924,0.128,0.653,119.993,7eynu6zyOlNmwlzBghRw9P,155200
104,0.419,0.286,-13.203,0.0503,0.824,0.933,0.278,0.675,69.762,3OdJ2Rcreqvm8EwYStkDw0,162293
105,0.512,0.173,-20.111,0.0749,0.967,0.355,0.101,0.341,79.46,1eym6TAjN1eCebQZhjpEGD,237440
106,0.327,0.452,-13.636,0.0348,0.893,0.938,0.0957,0.519,138.921,4Z8x6FaXzWt81KJmNhftXB,182827
107,0.364,0.195,-19.825,0.0438,0.9,0.746,0.135,0.324,114.884,0713towTl6JgiTbswse8JH,225533
108,0.273,0.0863,-23.464,0.0431,0.945,0.767,0.624,0.233,98.447,1eBJBHTMdO9tEwwUrcPGfk,246527
109,0.594,0.22,-16.535,0.0489,0.862,0.102,0.0906,0.674,96.712,3VcBWda1V1tGx91GkbsjFU,207267
110,0.408,0.146,-30.453,0.0358,0.483,0.878,0.136,0.381,82.849,0klM1NaCp9gx1YfWTioe1Z,190867
111,0.296,0.114,-23.059,0.0448,0.942,0.857,0.111,0.291,84.917,42l9R1WEaZjFVatHrz0ipk,212147
