,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
76,0.71,0.693,-7.702,0.0992,0.244,0.847,0.0898,0.892,89.987,0SwKVDgLOaTLL1WPMF6gTm,130218
77,0.805,0.687,-10.795,0.044,0.0957,0.901,0.163,0.599,121.978,6MytAYhPlnOJWxk15Ps1y8,144939
78,0.804,0.712,-9.531,0.0641,0.115,0.833,0.0896,0.192,121.964,6zb0LTvejX92LJ1SFwhAqW,147541
79,0.731,0.638,-10.896,0.0534,0.292,0.922,0.0959,0.71,112.045,3WKI2aIrxGiAzqrWDhwRPY,149490
80,0.78,0.672,-8.239,0.0568,0.0375,0.619,0.0643,0.637,121.993,2LhWUa2bxkYTr6CrzqxEsI,137705
81,0.8,0.48,-13.712,0.0541,0.0486,0.937,0.106,0.831,123.031,1nkPgXn5FrB9Jk6UZKFddH,141142
82,0.819,0.644,-7.999,0.0646,0.146,0.27,0.075,0.532,121.944,79Dtky4jUXcRww5oPOyUSe,153443
83,0.66,0.722,-10.977,0.0796,0.384,0.881,0.126,0.374,102.009,1qSxreiNFtofEfZnSf1E8f,133361
84,0.842,0.586,-8.823,0.0737,0.108,0.207,0.0862,0.668,122.001,39nWInpncI9NLI8Y3WjiRD,176557
85,0.714,0.822,-6.535,0.0463,0.0232,0.179,0.0641,0.152,122.019,7jlI9HkrukWS5RvWgHFfqw,173115
86,0.806,0.631,-10.384,0.0581,0.29,0.894,0.0809,0.661,120.995,51nFSD1fK2Fklm9lT5izMd,142675
87,0.84,0.633,-10.904,0.0792,0.00226,0.939,0.084,0.768,122.005,0LIneD6ldqVnLlMjQoocbe,160601
88,0.813,0.45,-12.058,0.0654,0.302,0.462,0.114,0.306,115.003,1UXAwFVtdZC9LOqChVmdsT,169482
89,0.791,0.789,-8.87,0.0447,0.432,0.278,0.132,0.964,118.985,4CFpAZ4pxtAVlfgm0sNAo7,124482
90,0.639,0.695,-11.011,0.0434,0.0168,0.886,0.106,0.558,108.014,4Cspf2l3iw93vL0Z6BQxCA,178187
91,0.719,0.733,-11.77,0.0342,0.215,0.857,0.079,0.873,106.01,1l3ougDYMESLfYXYae17Jv,165692
92,0.7,0.687,-13.304,0.0426,0.213,0.888,0.0925,0.732,120.058,4qLdtdujBxs5eiuxOPbtRM,129283
93,0.791,0.743,-9.214,0.0486,0.0877,0.172,0.106,0.545,121.021,6FuVOfakLDR0dFQCMyAShM,210248
94,0.718,0.809,-7.24,0.0403,0.0824,0.46,0.117,0.659,121.987,02C2FxcKaC7RKhVTKDShLo,162789
95,0.785,0.621,-12.381,0.0496,0.0992,0.747,0.0908,0.698,119.999,0LzLhoJ3LetCqrp5qxaGnD,161518
96,0.753,0.672,-10.188,0.0896,0.0205,0.771,0.119,0.677,94.997,3DSAUxLtejyHF5ibXlbLuT,152799
97,0.767,0.904,-10.284,0.0497,0.184,0.615,0.102,0.385,120.001,3PBO9FLPmoMHjxH1wNROge,133236
98,0.706,0.807,-9.488,0.042,0.1,0.814,0.0843,0.582,104.918,6pcc5xuzxUrse2hjkjPKsV,184645
99,0.72,0.705,-6.755,0.03,0.00691,0.296,0.341,0.49,119.985,1iPlInqTXhFg3ASIc58NnF,145618
100,0.633,0.679,-9.774,0.0315,0.079,0.904,0.449,0.579,122.037,1WkENkCW7VC8oW22VNGYbo,145496
101,0.847,0.624,-9.827,0.0416,0.363,0.834,0.107,0.615,119.999,0yHUJBdPBIoznZrxbmMdob,180000
102,0.757,0.654,-8.952,0.058,0.0362,0.891,0.129,0.962,122.004,6pApPllCtfJfJWAYm6nsuI,153304
103,0.873,0.613,-10.971,0.0615,0.25,0.608,0.105,0.563,119.994,63p0yuN6UDhvoJgoCzotkS,147493
104,0.774,0.865,-7.596,0.0626,0.357,0.879,0.137,0.7,108.003,0yMnETKNcY5y7REgfOn7yW,124119
105,0.703,0.721,-10.642,0.0591,0.0454,0.919,0.123,0.83,122.023,60iU9rJv46w4iKA1IItrpU,178596
106,0.63,0.78,-9.369,0.0335,0.0011,0.969,0.075,0.669,121.983,5xvkSCrrzJZI8GUsQ3ZLqh,161210
107,0.729,0.807,-6.937,0.0761,0.0301,0.855,0.227,0.762,100.007,2sYRtdx17ZbcTSzjYeLE29,145763
108,0.743,0.703,-11.899,0.0503,0.322,0.818,0.105,0.938,104.004,5ypwX1BNbDxtGzxWKO0Lfc,168937
109,0.723,0.856,-6.97,0.0417,0.219,0.914,0.118,0.927,129.986,3hEzerVAPUGax4KgpMFMZW,165738
110,0.814,0.626,-11.29,0.0676,0.101,0.694,0.0801,0.59,123.005,4McHu0CWzSYrcKPjG8BNsY,158674
111,0.808,0.741,-9.55,0.042,0.166,0.922,0.0927,0.616,123.016,5GXvUileKtVkSKWB5VwOrD,157629
112,0.728,0.657,-12.789,0.0457,0.216,0.893,0.127,0.505,107.002,5GYxus7RGyqOu02kpquF2B,155025
113,0.639,0.587,-13.984,0.0757,0.239,0.881,0.108,0.892,89.915,6eDMbaf1iABu2CmTEHLjZb,107317
114,0.753,0.781,-9.606,0.0564,0.191,0.778,0.159,0.809,95.013,0dVSERTqJ1G83N8zy0lOSH,144614
115,0.797,0.855,-8.066,0.0535,0.0213,0.73,0.102,0.478,119.993,23ZorlDMjVZthcwP4IcUCB,147156
116,0.771,0.492,-12.396,0.0658,0.0124,0.666,0.0736,0.61,120.013,7uJrNScrZ9CJwlvTjFpCuU,145116
117,0.852,0.796,-11.404,0.076,0.191,0.929,0.102,0.675,105.0,5Tga8wqCENQZhGzI7HWEO0,147621
118,0.731,0.774,-9.092,0.0339,0.111,0.565,0.141,0.733,123.023,2Pi5TByIHiEwbajYpa9Xvh,160566
119,0.645,0.818,-10.338,0.04,0.0856,0.905,0.181,0.309,123.996,725HUEZrl0ePGYG4kWYVIA,142106
120,0.857,0.367,-10.134,0.0621,0.00858,0.909,0.107,0.825,116.023,62qCnmhWksniyl3DD61UX3,126050
121,0.779,0.756,-7.401,0.077,0.0212,0.886,0.121,0.454,122.021,5G0WaqafTnC493ZS9JJ16C,210907
122,0.618,0.735,-10.687,0.0464,0.291,0.925,0.134,0.911,191.973,1uL5NjgaalLzt5ZkP8V110,156212
123,0.794,0.401,-12.537,0.0731,0.127,0.805,0.0995,0.44,119.96,3POfgbSYdlXDpmQzYy6Pow,129033
124,0.714,0.64,-10.318,0.0692,0.302,0.851,0.104,0.668,96.99,1eHcKIzeUZSLTpoj4VYanH,165529
125,0.765,0.576,-10.003,0.0458,0.0189,0.837,0.0993,0.427,118.986,6bALlrz05IXRSrVmq16Vpb,157240
126,0.685,0.664,-11.07,0.0662,0.127,0.04,0.168,0.777,98.043,0s1Xt9aSDExgvW5Lpk0DiS,150651
127,0.801,0.596,-10.279,0.0666,0.258,0.0166,0.154,0.319,113.027,6Zw26t34gAqGYps1Dd3WQv,157135
128,0.572,0.704,-7.152,0.0614,0.328,0.711,0.142,0.768,163.976,64csxG4UzElpLB8zBJJmLg,105366
129,0.731,0.709,-9.068,0.109,0.189,0.803,0.307,0.52,91.991,4AdFYNBNuxre6wOkqBDSRd,137625
130,0.719,0.699,-10.183,0.0529,0.163,0.563,0.136,0.369,91.992,1D8DGxXf0GE4tl1NWulVIr,169320
131,0.797,0.52,-11.937,0.0323,0.0422,0.864,0.0622,0.899,115.974,5lxWCsGwcfoW72LYd8b7FG,146611
132,0.81,0.688,-8.809,0.0733,0.2,0.906,0.184,0.393,113.004,4nik7ZXHJGVfR7TwWq5uKP,153641
133,0.479,0.6,-11.789,0.048,0.397,0.806,0.375,0.796,122.881,7lYwrJ9L2MHibEbwRAIl3I,142524
134,0.667,0.85,-8.467,0.0386,0.0217,0.647,0.525,0.733,102.993,21yCXBSAAuWLdsZCsBeGbS,138141
135,0.742,0.666,-7.717,0.0861,0.387,0.0023,0.112,0.306,133.994,3KMj8YQu5uuHDySf5gg7ho,125399
136,0.723,0.63,-9.338,0.0538,0.15,0.853,0.102,0.709,93.013,75o3Uax6EimY3TMs45Rcyb,133352
137,0.761,0.614,-8.969,0.0507,0.412,0.133,0.112,0.5,95.008,7uEYVxQXXyX69t9C9FF76O,154691
138,0.676,0.746,-8.333,0.0328,0.116,0.109,0.0791,0.178,124.983,0CFGu3nvwCi47LORTn7vji,161472
139,0.611,0.794,-6.8,0.031,9.91e-05,0.875,0.125,0.681,120.028,2MbXYN98iR037z91pQu7XH,162000
140,0.708,0.775,-10.33,0.0668,0.501,0.654,0.0743,0.792,103.036,3wCQGSBHsGO9v9xX1Zw00E,139395
141,0.746,0.758,-8.057,0.0464,0.323,0.937,0.0571,0.919,118.021,7z4mMNqFG20P6m4X4eCrCS,123501
142,0.724,0.758,-10.392,0.0448,0.281,0.862,0.0787,0.494,106.003,0tLcIWs9LJWzPifUH9s6VM,139389
143,0.844,0.574,-8.536,0.102,0.178,0.485,0.0884,0.723,122.011,7oJoc4nNpz7zKT6oLJOMPg,167015
144,0.833,0.562,-10.863,0.188,0.151,0.846,0.123,0.352,94.004,2xE2VkC4LFKtXPsxLuqaI8,147502
145,0.8,0.684,-10.354,0.13,0.369,0.00227,0.0962,0.733,99.03,25ywi6wtpeIGYuSGJkPEal,165796
146,0.803,0.534,-12.153,0.0673,0.113,0.823,0.0787,0.494,119.997,0tYW6lVAs3wz4GF7p5hC3n,138010
147,0.832,0.598,-7.495,0.039,0.0678,0.894,0.0586,0.613,112.026,45jmrWe4H9yCcdiimXa1YC,121417
148,0.68,0.729,-8.487,0.0337,0.28,0.126,0.196,0.73,115.931,24j7Qdhc4QJ0B40VhyJgAU,168914
149,0.629,0.777,-5.866,0.0762,0.0651,0.13,0.121,0.732,81.889,1VtfxdwyITGa9Nc0judjBr,164966
150,0.714,0.786,-7.876,0.0514,0.204,0.103,0.183,0.902,104.99,7C9AttWzoqGdKpTX9tKGyj,195675
151,0.701,0.694,-11.813,0.0472,0.0444,0.955,0.115,0.575,101.006,3atldtDJ5VsP8lz8Jb6kWa,129283
152,0.806,0.672,-10.132,0.0471,0.186,0.852,0.102,0.738,117.016,190NAAHoJ0dS7crFZYYrCx,167027
153,0.731,0.812,-8.397,0.046,0.621,0.826,0.255,0.764,114.959,1obhY2KexsbZp5WA4JW5D7,125620
154,0.755,0.703,-6.699,0.0413,0.0444,0.64,0.102,0.943,117.974,7bXeiaVjnYQrMzIYW8hmyv,141549
155,0.804,0.817,-9.325,0.0528,0.0349,0.806,0.0635,0.709,122.99,2MeD1iHNp8e7G9APZyTf0B,155223
156,0.778,0.826,-10.231,0.0508,0.323,0.911,0.0982,0.334,106.001,4ZHk8mG77HPy79eB0Lugsq,157739
157,0.723,0.826,-7.815,0.0548,0.0525,0.919,0.118,0.764,109.958,1hq39CqzUSxUJFsQNQlQS8,130235
158,0.696,0.739,-10.904,0.0593,0.744,0.947,0.108,0.685,111.998,1H3rjEbePU1zjyanQknS4a,132342
159,0.607,0.511,-9.496,0.035,0.592,0.00856,0.0724,0.598,171.995,6yiroT8D3nWFzLvh5s8EpE,124413
160,0.699,0.764,-10.049,0.036,0.115,0.856,0.114,0.757,112.001,4OuEoNYaMjnX3l9N74f86i,123298
161,0.702,0.664,-10.503,0.0439,0.0102,0.933,0.214,0.556,125.012,0FnRImWjI3Iq1F2l217jIW,140161
162,0.735,0.566,-11.093,0.0427,0.000766,0.825,0.225,0.342,120.979,4FfIJ6bduyqVbI2bMIUAeo,143813
163,0.687,0.7,-10.333,0.0319,0.0548,0.867,0.128,0.544,115.006,6LHiAkibf1pmy3AG4KUNF1,154622
164,0.73,0.605,-13.616,0.0368,0.0457,0.787,0.156,0.761,120.007,3nQrrNCI8o9OOzB33vHHSd,120000
